Название;Слот;Группа артефакта;Суть
Оковы Лемминга;Предмет 2;Темное Управление;Выберите два существа не выше 15-ого уровня. Вы теряете часть манны. Если одно получает урон, другое автоматически получает урон в том же объеме. 
Сапоги Опаленной Земли;Ноги;Темное Управление;Вы можете в любой момент беспрепятственно покинуть поле боя.
Посох Проклятия Смотрителей Маяка;Первая рука;Темное Управление;Заклинания «Болезнь из болот», «Болотный огонек», «Аура страха», «Нечестивый яд» и «Чума» многократно усиливаются. Если вы находитесь недалеко от водоема, вы получаете контроль над всеми привидениями на поле боя.
Сапоги из Толстого Кирпича с Серебряной Застежкой;Ноги;Мечта Политика;Усиливает Дипломатию, дает +10% к стоимости вещей при продаже. Вам легче набирать армию.
Кольцо Толстого Кирпича;Кольцо на правую руку;Мечта Политика;Усиливает Дипломатию, дает -10% к стоимости вещей при покупке. Вам легче удерживать армию и ваших подчиненных.
Фрагмент Врат Безумия;Предмет 3;Странствующий Философ;Заклинание «Берсерк» теперь заставляет цель атаковать только те цели, которые выгодно вам.
Шлем Воспоминаний;Голова;Странствующий Философ;Если вы получили какое-либо знание во временное пользование, оно все равно остается постоянным.
Кольцо Древности;Кольцо на правую руку;Странствующий Философ;Все ваши заклинания становятся Древними, хотя их сила от этого не увеличивается.
Клинок Близкого Лезвия;Первая рука;Странствующий Философ;Ваш урон в стрелковом бою ослабевает в два раза, а урон в ближнем бою усиливается в полтора раза.
Кристалл Пробуждения;Предмет 1;Странствующий Философ;Значительно усиливает ваши навыки Некромантии, а также в заклинаниях «Чудесное спасение» и «Хранитель».
Сердце Рассвета;Предмет 2;Странствующий Философ;Вы можете менять тип заклинания со Света на Тьму и наоборот.
Ожерелье Величест-венного Испытания;Шея;Странствующий Философ;Если вы сражаетесь с существом достаточно высокого уровня, вы получаете некоторый шанс уклониться от его ударов. Утраивается шанс обучения в бою.
Книга Чудесных историй;Вторая рука;Странствующий Философ;В ней можно встретить различные советы, а также предсказания. Правда, они с шансом 25% оказываются ложными.
Плащ Печального Проповедника;Плечи;Странствующий Философ;Ваша Дипломатия может ослаблять Дипломатию любой цели.
Рюкзак Обезумевшего Учителя;Спина;Странствующий Философ;Любой предмет, помещенный в этот рюкзак, исчезает навсегда с шансом 20%. Если он не исчез, он теряет все наложенные на него зачарования и приобретает новое случайное зачарование.
Кольцо из Проводов Жизни;Кольцо на левую руку;Странствующий Философ;Вы обладаете регенерацией (заклинание «Регенерация») и вампиризмом (заклинание «Вампиризм»), причем эти эффекты с вас никак нельзя снять.
Сапоги Танцующего Рассвета;Ноги;Странствующий Философ;Если вы наложили заклинание магии Воздуха, вы также можете наложить любое заклинание Призыва одновременно с ним.
Жезл Жреца Цензуры;Первая рука;Горящий Металл;Ваши соперники произносят заклинания дольше.
Древняя Гитара;Вторая рука;Горящий Металл;Дает небольшой бонус ко всем характеристикам. Вы можете уничтожить этот артефакт. Если вы это делаете, вы можете получить один совет от «Свитка Тайного», правда, потеряете после этого половину своего здоровья.
Накидка из шкуры Снежного Пса;Плечи;Горящий Металл;Бонус к Воинству и Плутовству, если битва происходит под землей.
Старинная Книга с Подсказками;Предмет 1;Горящий Металл;Вы можете узнать любую информацию о любом существе не выше 15-ого уровня, в том числе и о каком-либо конкретном, если оно в зоне вашей видимости.
Кувшин с Небесным Напитком;Предмет 2;Горящий Металл;Подсвечивает все артефакты в небольшом радиусе, правда, с шансом 25% уничтожает найденным таким образом артефакт.
Прототип артефакта «Лебедь Х-1»;Предмет 3;Горящий Металл;Вы больше не тратите манну на заклинания «Волнение Земли» и «Шок Земли», а время их перезарядки сокращается вдвое.
Шляпа с Перьями Благородной Птицы;Голова;Горящий Металл;Вы игнорируете бонусы, которые получает Плут при атаке из засады или Скрытности.
Острие Неопреде-ленного Ножа;Первая рука;Безымянный Гений;Копирует бонус случайного артефакта, которым вы обладаете.
Кулон Бесконечной Тайны;Шея;Безымянный Гений;Информация о вас не может быть получена никакими предметами (кроме Е).
Травинка за Стеклом;Предмет 1;Безымянный Гений;Вы имеете вдвое больший шанс пробить броню противника.
Кольцо Небесного Смеха;Кольцо на левую руку;Безымянный Гений;На вас не действуют заклинания «Скорбь» и «Аура страха».
Щит Громилы Бенни;Вторая рука;Безымянный Гений;На соперника, уничтоженного вами, не работает заклинание «Чудесное спасение».
