Название;Стоимость;Стихия;Тип камня;Страна;Легендарность;Суть
Меч (из крепкого дуба);2 сс;Нет;Нет;Нет;Обычная;Деревянный меч. Неплохо сделан, может выдержать пару неплохих ударов, после чего сломается.
Меч (из куска камня);5 сс;Нет;Нет;Нет;Обычная;Интересно, как можно орудовать куском камня? Прочный, но крайне неудобный меч.
Меч (из б/у железа);10 сс;Нет;Нет;Нет;Обычная;Б/у железо, безусловно, лучше, чем камень, но не подойдет настоящим воинам.
Меч (из железа);25 сс;Нет;Нет;Нет;Обычная;Самый обычный меч. Им можно неплохо сражаться.
Меч (из хорошего железа);50 сс;Нет;Нет;Нет;Редкая;Отличный меч, быстрый и острый. Можно хорошо сражаться.
Меч (из закаленной стали);100 сс;Нет;Нет;Нет;Редкая;Замечательный меч, он не ржавеет и не затупляется.  Многие опытные воины предпочитают этот меч.
Меч (из серебра);100 сс;Нет;Нет;Нет;Редкая;Отличный меч, он наносит больше урона по нежити. Этим мечом при довольно хорошем обращении можно разрушать чары Тьмы и Хаоса.
Меч (из зачарованного золота);150 сс;Нет;Нет;Нет;Эпическая;Этот меч легок в использовании для магов. При его зачаровании на него накладывается еще и второе зачарование.. По эффективности аналогичен серебряному.
Меч (из сверкающего металла);200 сс;Нет;Нет;Нет;Эпическая;Этот меч так и сверкает, готовый обрушиться на врага. Это замечательное оружие дает +50% к стихийному урону. Если на вас было наложено заклинание Хаоса 1-2 уровня, меч примет на себя часть урона, но при этом не повредится, а зачаруется на данную стихию, и сможет наносить стихийный урон.
Меч (из метеоритного железа);250 сс;Нет;Нет;Нет;Эпическая;Лучшее железо, которое можно использовать в чистом виде. Этот меч очень силен, жаль только, что на нем нет боевой магии.
Меч (из метеоритной стали);300 сс;Нет;Коммонит;Нет;Легендарная;Этот превосходный меч отлит из метеоритной стали, улучшенной версии метеоритного железа. Этот меч ничуть не хуже меча из метеоритного железа, а вот по боевой магии даже превосходит его: это чудесное оружие отличается способностью прожигать броню врага с небольшим шансом.
Меч (из мифрила);500 сс;Нет;Коммонит;Нет;Легендарная;Этот меч сделан из мифрила – серебра, подобного метеоритному железу. Это оружие может пробить практически любую броню, а также наносит +100% урона всем существам выше 8 уровня.
Меч (из неразрушимого сплава);750 сс;Нет;Коммонит;Нет;Легендарная;Этот меч практически не изнашивается, его невозможно сломать каким-либо навыком, а также выбить из рук. Этот меч также заряжается от каждого удара по нему, а затем может отдать эту энергию мощной ударной волной.
Меч (из металла недр земли);1000 сс;Нет;Коммонит х2;Нет;Мифическая;Этот меч можно зарядить, воткнув его в землю. После пары минут, меч начнет излучать магию, которая позволит ему отражать заклинания, летящие в игрока, разбивать броню и щиты, а также накладывать заклинание «Землетрясение» с +500% бонусом (с небольшим шансом)
Меч (выкованный из металла Ядра Планеты);2000 сс;Нет;Коммонит х2;Нет;Мифическая;Металл из Ядра Планеты - один из самых редких материалов на Псевдоноре. Этот меч невероятно сложен в использовании, но крайне хорош в бою. Если этот меч окунуть в лаву, то в течение часа этот меч будет способен пробить любую броню, разбить любые чары, нанести +100% урона по существам ниже 11 уровня, а также наложить одно любое заклинание без траты манны с бонусом +500% к его силе. Этот меч в заряженном состоянии способен переносить чары с одного предмета на другой.
Лук (из крепкого дуба);2 сс;Нет;Нет;Нет;Обычная;Самый обычный лук. Не так уж и дорогой, но убивать врагов им не слишком удобно.
Лук (из мрамора);5 сс;Нет;Нет;Нет;Обычная;Лук из мрамора?! Как его вообще использовать? Это неважно. Купите этот лук и чувствуйте себя вооруженным.
Лук (из древней ивы);10 сс;Нет;Нет;Нет;Обычная;Этот лук все еще не очень, но уже не такой уж и плохой. Стрелы из этого лука летят далеко, вот только едва ли пробьют броню, да и несильный ветер собьет их с курса.
